season,episode,title,imdb_rating,total_votes,air_date
1,1,Pilot,7.6,,24/03/2005
1,2,Diversity Day,8.3,3566,29/03/2005
1,3,Health Care,7.9,2983,05/04/2005
1,4,The Alliance,8.1,2886,12/04/2005
1,5,Basketball,8.4,3179,19/04/2005
1,6,Hot Girl,,2852,26/04/2005
2,1,The Dundies,8.7,3213,20/09/2005
2,2,Sexual Harassment,8.2,2736,27/09/2005
2,3,Office Olympics,8.4,2742,04/10/2005
2,4,The Fire,8.4,2713,11/10/2005
2,5,Halloween,8.2,2561,18/10/2005
2,6,The Fight,8.2,2550,01/11/2005
2,7,The Client,8.6,,08/11/2005
2,8,Performance Review,8.2,2416,15/11/2005
2,9,E-Mail Surveillance,8.4,2527,22/11/2005
2,10,Christmas Party,8.8,2755,06/12/2005
2,11,Booze Cruise,8.6,2679,05/01/2006
2,12,The Injury,9,3282,12/01/2006
2,13,The Secret,8.3,2363,19/01/2006
2,14,The Carpet,7.9,2342,26/01/2006
2,15,Boys and Girls,8.2,2323,02/02/2006
2,16,Valentine's Day,,2345,09/02/2006
2,17,Dwight's Speech,8.4,2463,02/03/2006
2,18,Take Your Daughter to Work Day,8.3,,16/03/2006
2,19,Michael's Birthday,8.1,2337,30/03/2006
2,20,Drug Testing,8.4,2397,27/04/2006
2,21,Conflict Resolution,8.7,2440,04/05/2006
2,22,Casino Night,9.3,3644,11/05/2006
3,1,Gay Witch Hunt,8.9,3087,21/09/2006
3,2,The Convention,,2275,28/09/2006
3,3,The Coup,8.5,,05/10/2006
3,4,Grief Counseling,8,2311,12/10/2006
3,5,Initiation,8.2,2254,19/10/2006
3,6,Diwali,8,2320,02/11/2006
3,7,Branch Closing,8.5,2260,09/11/2006
3,8,The Merger,8.7,,16/11/2006
3,9,The Convict,8.2,2373,30/11/2006
3,10,A Benihana Christmas,,2541,14/12/2006
3,11,Back from Vacation,8.5,2255,04/01/2007
3,12,Traveling Salesmen,8.6,2316,11/01/2007
3,13,The Return,8.8,2430,18/01/2007
3,14,Ben Franklin,8.2,2254,01/02/2007
3,15,Phyllis' Wedding,8.3,2283,08/02/2007
3,16,Business School,8.8,2622,15/02/2007
3,17,Cocktails,8.5,2264,22/02/2007
3,18,The Negotiation,8.9,2555,05/04/2007
3,19,Safety Training,8.8,2424,12/04/2007
3,20,Product Recall,8.7,,26/04/2007
3,21,Women's Appreciation,8.8,2403,03/05/2007
3,22,Beach Games,9.1,2783,10/05/2007
3,23,The Job,9.3,3010,17/05/2007
4,1,Fun Run,8.8,2826,27/09/2007
4,2,Dunder Mifflin Infinity,8.4,2248,04/10/2007
4,3,Launch Party,8.5,2173,11/10/2007
4,4,Money,8.7,2341,18/10/2007
4,5,Local Ad,8.8,2388,25/10/2007
4,6,Branch Wars,,2185,01/11/2007
4,7,Survivor Man,8.3,2110,08/11/2007
4,8,The Deposition,8.7,2202,15/11/2007
4,9,Dinner Party,9.3,,10/04/2008
4,10,Chair Model,8.1,2095,17/04/2008
4,11,Night Out,8.7,2179,24/04/2008
4,12,Did I Stutter?,8.4,2087,01/05/2008
4,13,Job Fair,7.9,1977,08/05/2008
4,14,"Goodbye, Toby",9.3,3010,15/05/2008
5,1,Weight Loss,8.8,,25/09/2008
5,2,Business Ethics,8.3,1990,09/10/2008
5,3,Baby Shower,8.1,1954,16/10/2008
5,4,Crime Aid,8.1,1884,23/10/2008
5,5,Employee Transfer,8.1,1962,30/10/2008
5,6,Customer Survey,8.5,2018,06/11/2008
5,7,Business Trip,8.2,,13/11/2008
5,8,Frame Toby,8.6,2089,20/11/2008
5,9,The Surplus,8.7,2070,04/12/2008
5,10,Moroccan Christmas,8.4,1951,11/12/2008
5,11,The Duel,8.7,2011,15/01/2009
5,12,Prince Family Paper,8.1,1954,22/01/2009
5,13,Stress Relief,,5948,01/02/2009
5,14,Lecture Circuit: Part 1,8.2,1838,05/02/2009
5,15,Lecture Circuit: Part 2,8.2,1808,12/02/2009
5,16,Blood Drive,8.1,1847,05/03/2009
5,17,Golden Ticket,8.7,1987,12/03/2009
5,18,New Boss,8.3,1875,19/03/2009
5,19,Two Weeks,8.4,,26/03/2009
5,20,Dream Team,8.3,1863,09/04/2009
5,21,Michael Scott Paper Company,,2032,09/04/2009
5,22,Heavy Competition,8.7,1913,16/04/2009
5,23,Broke,9.1,2509,23/04/2009
5,24,Casual Friday,8.3,1845,30/04/2009
5,25,Cafe Disco,8.7,2107,07/05/2009
5,26,Company Picnic,,2232,14/05/2009
6,1,Gossip,,2127,17/09/2009
6,2,The Meeting,8.2,1755,24/09/2009
6,3,The Promotion,8,1751,01/10/2009
6,4,Niagara: Part 1,9.3,3579,08/10/2009
6,5,Niagara: Part 2,9.3,,08/10/2009
6,6,Mafia,7.7,1829,15/10/2009
6,7,The Lover,8.6,1917,22/10/2009
6,8,Koi Pond,8.2,1739,29/10/2009
6,9,Double Date,,1709,05/11/2009
6,10,Murder,,2016,12/11/2009
6,11,Shareholder Meeting,8.2,1726,19/11/2009
6,12,Scott's Tots,8.3,,03/12/2009
6,13,Secret Santa,8.5,,10/12/2009
6,14,The Banker,6.8,2288,21/01/2010
6,15,Sabre,7.8,1681,04/02/2010
6,16,Manager and Salesman,8.1,1670,11/02/2010
6,17,The Delivery: Part 1,8.4,1750,04/03/2010
6,18,The Delivery: Part 2,8.5,1769,04/03/2010
6,19,St. Patrick's Day,,1642,11/03/2010
6,20,New Leads,7.9,1609,18/03/2010
6,21,Happy Hour,8.6,1873,25/03/2010
6,22,Secretary's Day,7.9,1613,22/04/2010
6,23,Body Language,8,1633,29/04/2010
6,24,The Cover-Up,8.2,1627,06/05/2010
6,25,The Chump,7.9,1571,13/05/2010
6,26,Whistleblower,8,1625,20/05/2010
7,1,Nepotism,8.4,,23/09/2010
7,2,Counseling,8.3,1684,30/09/2010
7,3,Andy's Play,8.2,,07/10/2010
7,4,Sex Ed,7.9,1650,14/10/2010
7,5,The Sting,7.8,1612,21/10/2010
7,6,Costume Contest,8.2,,28/10/2010
7,7,Christening,7.5,,04/11/2010
7,8,Viewing Party,7.9,,11/11/2010
7,9,WUPHF.com,7.8,1598,18/11/2010
7,10,China,8.2,1661,02/12/2010
7,11,Classy Christmas,8.9,2138,09/12/2010
7,12,Ultimatum,8.3,1695,20/01/2011
7,13,The Seminar,7.7,1616,27/01/2011
7,14,The Search,8.5,1742,03/02/2011
7,15,PDA,8.4,1736,10/02/2011
7,16,Threat Level Midnight,,3525,17/02/2011
7,17,Todd Packer,7.5,1581,24/02/2011
7,18,Garage Sale,9.2,2742,24/03/2011
7,19,Training Day,7.8,1655,14/04/2011
7,20,Michael's Last Dundies,8.9,2182,21/04/2011
7,21,"Goodbye, Michael",9.7,5749,28/04/2011
7,22,The Inner Circle,7.7,1634,05/05/2011
7,23,"Dwight K. Schrute, (Acting) Manager",8.7,1840,12/05/2011
7,24,Search Committee,8.8,2040,19/05/2011
8,1,The List,8.2,1829,22/09/2011
8,2,The Incentive,8.2,1668,29/09/2011
8,3,Lotto,7.3,1601,06/10/2011
8,4,Garden Party,8.1,1717,13/10/2011
8,5,Spooked,7.6,1543,27/10/2011
8,6,Doomsday,7.8,1476,03/11/2011
8,7,Pam's Replacement,7.7,1563,10/11/2011
8,8,Gettysburg,7,1584,17/11/2011
8,9,Mrs. California,7.7,1553,01/12/2011
8,10,Christmas Wishes,8,1547,08/12/2011
8,11,Trivia,7.9,1488,12/01/2012
8,12,Pool Party,8,1612,19/01/2012
8,13,Jury Duty,,1478,02/02/2012
8,14,Special Project,7.8,1432,09/02/2012
8,15,Tallahassee,7.9,1522,16/02/2012
8,16,After Hours,8.1,1567,23/02/2012
8,17,Test the Store,7.8,1478,01/03/2012
8,18,Last Day in Florida,7.8,1429,08/03/2012
8,19,Get the Girl,,1642,15/03/2012
8,20,Welcome Party,7.2,1489,12/04/2012
8,21,Angry Andy,7.1,1585,19/04/2012
8,22,Fundraiser,7.1,1453,26/04/2012
8,23,Turf War,7.7,1393,03/05/2012
8,24,Free Family Portrait Studio,7.8,1464,10/05/2012
9,1,New Guys,7.7,,20/09/2012
9,2,Roy's Wedding,7.2,1477,27/09/2012
9,3,Andy's Ancestry,7.5,1461,04/10/2012
9,4,Work Bus,7.9,1551,18/10/2012
9,5,Here Comes Treble,,1515,25/10/2012
9,6,The Boat,,1455,08/11/2012
9,7,The Whale,7.7,1406,15/11/2012
9,8,The Target,7.8,1438,29/11/2012
9,9,Dwight Christmas,8.4,1634,06/12/2012
9,10,Lice,7.7,1470,10/01/2013
9,11,Suit Warehouse,7.9,1441,17/01/2013
9,12,Customer Loyalty,8,1508,24/01/2013
9,13,Junior Salesman,7.7,1394,31/01/2013
9,14,Vandalism,,1402,31/01/2013
9,15,Couples Discount,7.4,1407,07/02/2013
9,16,Moving On,8.2,1572,14/02/2013
9,17,The Farm,7.5,1656,14/03/2013
9,18,Promos,8,1445,04/04/2013
9,19,Stairmageddon,8,,11/04/2013
9,20,Paper Airplane,8,1482,25/04/2013
9,21,Livin' the Dream,8.9,2041,02/05/2013
9,22,A.A.R.M.,9.3,2860,09/05/2013
9,23,Finale,9.7,7934,16/05/2013
